DATE,IBMRET,MarketEXRET,RF
19940103,2.01110613,-0.45,0.012
19940104,2.414812758,0.24,0.012
19940105,0.851058687,0.21,0.012
19940106,-1.666627892,-0.07,0.012
19940107,0.643084566,0.48,0.012
19940110,0.638975494,0.88,0.012
19940111,-1.049308343,-0.16,0.012
19940112,-0.849251809,0.04,0.012
19940113,1.081070591,-0.17,0.012
19940114,-0.212539814,0.47,0.012
19940117,-1.900681457,-0.25,0.012
19940118,-0.650051862,0.1,0.012
19940119,-1.950100075,-0.08,0.012
19940120,-1.330357173,0.21,0.012
19940121,0,-0.05,0.012
19940124,6.299029872,-0.47,0.012
19940125,-0.637617338,-0.26,0.012
19940126,-3.167629344,0.41,0.012
19940127,1.33926589,0.78,0.012
19940128,1.100098973,0.42,0.012
19940131,-2.141245052,0.57,0.012
19940201,0,-0.28,0.011
19940202,-0.220994347,0.43,0.011
19940203,-1.102524553,-0.21,0.011
19940204,-6.085018771,-2.32,0.011
19940207,4.421899418,0.33,0.011
19940208,-1.145462842,0.05,0.011
19940209,-0.92806762,0.44,0.011
19940210,-0.469482669,-0.67,0.011
19940211,0.71174072,0.03,0.011
19940214,1.418416098,0.11,0.011
19940215,0.930225855,0.47,0.011
19940216,0.229621026,0.06,0.011
19940217,-3.374252595,-0.46,0.011
19940218,-0.236686255,-0.48,0.011
19940222,1.91840702,0.63,0.011
19940223,-0.232828732,-0.14,0.011
19940224,-1.161427055,-1.25,0.011
19940225,0,0.36,0.011
19940228,0,0.38,0.011
19940301,1.428547289,-0.52,0.012
19940302,-1.158735446,-0.13,0.012
19940303,-0.705049978,-0.24,0.012
19940304,0,0.46,0.012
19940307,-0.710056204,0.56,0.012
19940308,4.901003015,-0.23,0.012
19940309,1.148093075,0.16,0.012
19940310,1.135061691,-0.62,0.012
19940311,-0.222965362,0.44,0.012
19940314,2.950980656,0.29,0.012
19940315,-0.217155176,0.03,0.012
19940316,1.536742798,0.56,0.012
19940317,-0.641708997,0.3,0.012
19940318,-1.287535718,0.05,0.012
19940321,2.660599008,-0.5,0.012
19940322,-0.637617338,0.04,0.012
19940323,-1.702086215,0.03,0.012
19940324,-1.516763785,-0.98,0.012
19940325,-4.125352599,-0.62,0.012
19940328,-0.692038707,-0.47,0.012
19940329,-1.847522048,-1.8,0.012
19940330,1.676607819,-1.53,0.012
19940331,2.125068506,-0.13,0.012
19940404,-2.931015807,-1.58,0.014
19940405,0.710056229,2.37,0.014
19940406,-0.467288892,0.03,0.014
19940407,0,0.6,0.014
